stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s03i234,3,234,0,,,,hfls,CF3hr,True,1,W m-2,embargoed,m01s03i234[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i217,3,217,0,,,,hfss,CF3hr,True,1,W m-2,embargoed,m01s03i217[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i245,3,245,0,,,,hurs,CF3hr,True,1,%,embargoed,m01s03i245[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s00i408,0,408,0,,,,pfull,CF3hr,True,1,Pa,embargoed,m01s00i408[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s00i407,0,407,0,,,,phalf,CF3hr,True,1,Pa,embargoed,m01s00i407[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s05i216,5,216,0,,,,pr,CF3hr,True,1,kg m-2 s-1,embargoed,m01s05i216[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s05i205,5,205,0,,,,prc,CF3hr,False,2,kg m-2 s-1,embargoed,m01s05i205[lbproc=0]+m01s05i206[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s05i206,5,206,0,,,,prc,CF3hr,False,2,kg m-2 s-1,embargoed,m01s05i205[lbproc=0]+m01s05i206[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s05i215,5,215,0,,,,prsn,CF3hr,True,1,kg m-2 s-1,embargoed,m01s05i215[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s05i228,5,228,0,,,,prsnc,CF3hr,True,1,kg m-2 s-1,ok,m01s05i228[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s30i461,30,461,0,,,,prw,CF3hr,True,1,kg m-2,embargoed,m01s30i461[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s00i409,0,409,0,,,,ps,CF3hr,True,1,Pa,ok,m01s00i409[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s16i222,16,222,0,,,,psl,CF3hr,True,1,Pa,embargoed,m01s16i222[lbproc=0],HadGEM3_CF3hr_mappings.cfg
