stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s01i209,1,209,128,,,,rsutcs,Amon,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i209,1,209,128,,,,rsutcs,E3hr,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i209,1,209,128,,,,rsutcs,CFday,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i209,1,209,128,,,,rsutcs,APmon,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i209,1,209,128,,,,rsutcs,AP3hr,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i209,1,209,128,,,,rsutcs,APday,True,1,W m-2,ok,m01s01i209[lbproc=128],HadGEM3_mappings.cfg
m01s01i523,1,523,128,86,,,rsutcs4co2,CFmon,True,1,W m-2,ok,"m01s01i523[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i523,1,523,128,86,,,rsutcs4co2,APmon,True,1,W m-2,ok,"m01s01i523[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i519,1,519,128,86,,,rsutcsaf,AERmon,True,1,W m-2,ok,"m01s01i519[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i519,1,519,128,86,,,rsutcsaf,AEmon,True,1,W m-2,ok,"m01s01i519[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s30i455,30,455,128,,,P850,rv850,6hrPlev,True,1,s-1,embargoed,"m01s30i455[blev=P850, lbproc=128]",HadGEM3_mappings.cfg
m01s30i455,30,455,128,,,P850,rv850,AP6hr,True,1,s-1,embargoed,"m01s30i455[blev=P850, lbproc=128]",HadGEM3_mappings.cfg
m01s05i270,5,270,128,,,,sci,Amon,True,1,1,ok,m01s05i270[lbproc=128],HadGEM3_mappings.cfg
m01s05i270,5,270,128,,,,sci,APmon,True,1,1,ok,m01s05i270[lbproc=128],HadGEM3_mappings.cfg
m01s17i257,17,257,128,1,,,sconcdust,Emon,True,1,ug m-3,ok,"m01s17i257[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s17i257,17,257,128,1,,,sconcdust,APmon,True,1,ug m-3,ok,"m01s17i257[lblev=1, lbproc=128]",HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,Amon,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,E3hr,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,day,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,6hrPlev,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,APmon,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,128,,,,sfcWind,APday,True,1,m s-1,ok,m01s03i230[lbproc=128],HadGEM3_mappings.cfg
m01s03i230,3,230,8192,,,,sfcWindmax,Emon,True,1,m s-1,embargoed,mon_mean_from_day(m01s03i230[lbproc=8192]),HadGEM3_mappings.cfg
